"idVotacao";"uriVotacao";"data";"descricao";"proposicao_id";"proposicao_uri";"proposicao_ementa";"proposicao_codTipo";"proposicao_siglaTipo";"proposicao_numero";"proposicao_ano";"proposicao_titulo"
"2276475-116";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2276475-116";"2022-02-02";"Aprovada a Redação Final assinada pela Relatora, Dep. Soraya Santos (PL-RJ).";"2278564";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2278564";"Requer a desapensação do Projeto de Lei nº 1.208, de 2021, do Projeto de Lei nº 1.733, de 2020, do Projeto de Lei nº 1.300, de 2020 e do Projeto de Lei nº 1.016, de 2020.";"305";"REQ";"791";"2021";"REQ 791/2021"
"2276475-116";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2276475-116";"2022-02-02";"Aprovada a Redação Final assinada pela Relatora, Dep. Soraya Santos (PL-RJ).";"2278599";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2278599";"Requer regime de urgência para apreciação do Projeto de Lei 1.208/2021, do Sr. Carlos Jordy, que “Cria o Programa Pró-Pesquisa-Covid-19 enquanto durar a emergência de saúde pública decorrente da pandemia de Covid-19.”";"392";"REQ";"795";"2021";"REQ 795/2021"
"2276475-116";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2276475-116";"2022-02-02";"Aprovada a Redação Final assinada pela Relatora, Dep. Soraya Santos (PL-RJ).";"2282349";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2282349";"Cria o Programa Pró-Pesquisa-Covid-19 enquanto durar a emergência de saúde pública decorrente da pandemia de Covid-19.";"870";"EMP";"1";"";"EMP 1 => PL 1208/2021"
"2276475-116";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2276475-116";"2022-02-02";"Aprovada a Redação Final assinada pela Relatora, Dep. Soraya Santos (PL-RJ).";"2282620";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2282620";"Cria o Programa Pró-Pesquisa-Covid-19 enquanto durar a emergência de saúde pública decorrente da pandemia de Covid-19.";"870";"EMP";"2";"";"EMP 2 => PL 1208/2021"
"2276475-116";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2276475-116";"2022-02-02";"Aprovada a Redação Final assinada pela Relatora, Dep. Soraya Santos (PL-RJ).";"2282646";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2282646";"Cria o Programa Pró-Pesquisa-Covid-19 enquanto durar a emergência de saúde pública decorrente da pandemia de Covid-19.";"870";"EMP";"3";"";"EMP 3 => PL 1208/2021"
"2276475-116";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2276475-116";"2022-02-02";"Aprovada a Redação Final assinada pela Relatora, Dep. Soraya Santos (PL-RJ).";"2283553";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2283553";"Dá nova redação ao ""caput"" do art.3° do PL n° 1.208/2021.";"870";"EMP";"4";"";"EMP 4 => PL 1208/2021"
"2276475-116";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2276475-116";"2022-02-02";"Aprovada a Redação Final assinada pela Relatora, Dep. Soraya Santos (PL-RJ).";"2283605";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2283605";"Cria o Programa Pró-Pesquisa-Covid-19 enquanto durar a emergência de saúde pública decorrente da pandemia de Covid-19.";"891";"PRLP";"1";"";"PRLP 1 => PL 1208/2021"
"2276475-116";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2276475-116";"2022-02-02";"Aprovada a Redação Final assinada pela Relatora, Dep. Soraya Santos (PL-RJ).";"2283824";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2283824";"Emenda ao substitutivo ao PL 1208/2021.";"870";"EMP";"5";"";"EMP 5 => PL 1208/2021"
"2276475-116";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2276475-116";"2022-02-02";"Aprovada a Redação Final assinada pela Relatora, Dep. Soraya Santos (PL-RJ).";"2283825";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2283825";"Altera o substitutivo apresentado ao PL 1208/2021.";"870";"EMP";"6";"";"EMP 6 => PL 1208/2021"
"2276475-116";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2276475-116";"2022-02-02";"Aprovada a Redação Final assinada pela Relatora, Dep. Soraya Santos (PL-RJ).";"2283826";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2283826";"Altera o substitutivo apresentado ao PL 1208/2021.";"870";"EMP";"7";"";"EMP 7 => PL 1208/2021"
