"idVotacao";"uriVotacao";"data";"descricao";"proposicao_id";"proposicao_uri";"proposicao_ementa";"proposicao_codTipo";"proposicao_siglaTipo";"proposicao_numero";"proposicao_ano";"proposicao_titulo"
"2276475-116";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2276475-116";"2022-02-02";"Aprovada a Redação Final assinada pela Relatora, Dep. Soraya Santos (PL-RJ).";"2284513";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2284513";"Altere-se o Projeto de Lei nº 1.208, de 2021, nos seguintes termos:
“Art. 3º As pessoas jurídicas que aderirem ao Programa Prioritário Pró-Pesquisa-Covid-19 farão jus a crédito presumido a ser deduzido da Contribuição para o PIS/Pasep e Cofins, devidas em cada período de apuração, de valor equivalente a 50% (cinquenta por cento) dos valores aplicados efetivamente no Programa de que trata o artigo 1º, conforme regulamentação do Ministério da Ciência, Tecnologia e Inovações.
................................................................................................” (NR)";"870";"EMP";"8";"";"EMP 8 => PL 1208/2021"
"2276475-116";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2276475-116";"2022-02-02";"Aprovada a Redação Final assinada pela Relatora, Dep. Soraya Santos (PL-RJ).";"2284514";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2284514";"Inclua-se o seguinte artigo ao Substitutivo do Projeto de Lei nº 1.208, de 2021:
“Art. __ O crédito presumido de que trata o art. 3º não poderá ser apurado nem utilizado em valor superior a R$ 1.000.000,00 (um milhão de reais) por pessoa jurídica.” (NR)";"870";"EMP";"9";"";"EMP 9 => PL 1208/2021"
"2276475-116";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2276475-116";"2022-02-02";"Aprovada a Redação Final assinada pela Relatora, Dep. Soraya Santos (PL-RJ).";"2284515";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2284515";"Altere-se o §2º do art. 2º do Substitutivo ao Projeto de Lei nº 1.208, de 2021, nos seguintes termos:
“Art. 2º ............................................
......................................................
§ 2º Os recursos deverão ser depositados no programa de que trata o art. 1º, nos termos de regulamentação conjunta a ser editada pelo Ministério da Ciência, Tecnologia e Inovações e pelo Ministério da Saúde.
.................................................................................................” (NR)";"870";"EMP";"10";"";"EMP 10 => PL 1208/2021"
"2276475-116";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2276475-116";"2022-02-02";"Aprovada a Redação Final assinada pela Relatora, Dep. Soraya Santos (PL-RJ).";"2284516";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2284516";"Inclua-se o seguinte § 4º ao art. 3º do Substitutivo ao Projeto de Lei nº 1.208, de 2021:
“Art. 3º ............................................
......................................................
§ 4º A pessoa jurídica controladora, coligada, interligada ou interdependente de ICT credenciada na forma do §3º do art. 2º não poderá aderir ao Programa Prioritário Pró-Pesquisa-Covid-19.” (NR)";"870";"EMP";"11";"";"EMP 11 => PL 1208/2021"
"2276475-116";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2276475-116";"2022-02-02";"Aprovada a Redação Final assinada pela Relatora, Dep. Soraya Santos (PL-RJ).";"2284634";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2284634";"Inclua-se, onde couber, o seguinte § __ ao art. 3º do Substitutivo ao Projeto de Lei nº 1.208, de 2021:
“Art. 3º ............................................
......................................................
§ __ O Ministério da Ciência e Tecnologia deverá divulgar a relação individualizada das pessoas jurídicas que aderirem ao Programa Prioritário Pró-Pesquisa-Covid-19 com os respectivos valores transferidos para o Programa.” (NR)";"870";"EMP";"12";"";"EMP 12 => PL 1208/2021"
"2276475-116";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2276475-116";"2022-02-02";"Aprovada a Redação Final assinada pela Relatora, Dep. Soraya Santos (PL-RJ).";"2286249";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2286249";"Cria o Programa Pró-Pesquisa-Covid-19 enquanto durar a emergência de saúde pública decorrente da pandemia de Covid-19.";"891";"PRLP";"2";"";"PRLP 2 => PL 1208/2021"
"2276475-116";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2276475-116";"2022-02-02";"Aprovada a Redação Final assinada pela Relatora, Dep. Soraya Santos (PL-RJ).";"2286310";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2286310";"Dá nova redação ao ""caput"" do art.3° do substitutivo apresentado ao PL n° 1.208/2021.";"870";"EMP";"13";"";"EMP 13 => PL 1208/2021"
"2276475-116";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2276475-116";"2022-02-02";"Aprovada a Redação Final assinada pela Relatora, Dep. Soraya Santos (PL-RJ).";"2286935";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2286935";"Parecer proferido em Plenário pela Relatora, Dep. Soraya Santos (PL-RJ), pela Comissão de Seguridade Social e Família, que conclui pela aprovação, na forma do Substitutivo apresentado.";"192";"PPP";"1";"";"PPP 1 CSSF => PL 1208/2021"
"2276475-116";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2276475-116";"2022-02-02";"Aprovada a Redação Final assinada pela Relatora, Dep. Soraya Santos (PL-RJ).";"2286936";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2286936";"Parecer proferido em Plenário pela Relatora, Dep. Soraya Santos (PL-RJ), pela Comissão de Finanças e Tributação, que conclui pela adequação financeira e orçamentária da matéria; e, no mérito, pela aprovação, na forma do Substitutivo adotado pela Relatora da Comissão de Seguridade Social e Família.";"192";"PPP";"1";"";"PPP 1 CFT => PL 1208/2021"
"2276475-116";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2276475-116";"2022-02-02";"Aprovada a Redação Final assinada pela Relatora, Dep. Soraya Santos (PL-RJ).";"2286938";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2286938";"Parecer proferido em Plenário pela Relatora, Dep. Soraya Santos (PL-RJ), pela Comissão de Constituição e Justiça e de Cidadania, que conclui pela constitucionalidade, juridicidade e técnica legislativa, na forma do Substitutivo adotado pela Relatora da Comissão de Seguridade Social e Família.";"192";"PPP";"1";"";"PPP 1 CCJC => PL 1208/2021"
"2276475-116";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2276475-116";"2022-02-02";"Aprovada a Redação Final assinada pela Relatora, Dep. Soraya Santos (PL-RJ).";"2286951";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2286951";"Cria o Programa Pró-Pesquisa Covid-19 enquanto durar a emergência de saúde pública decorrente da pandemia de Covid-19.";"1001";"PRLE";"1";"";"PRLE 1 => PL 1208/2021"
"2276475-116";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2276475-116";"2022-02-02";"Aprovada a Redação Final assinada pela Relatora, Dep. Soraya Santos (PL-RJ).";"2286953";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2286953";"";"255";"SBT";"1";"";"SBT 1 => PL 1208/2021"
"2276475-116";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2276475-116";"2022-02-02";"Aprovada a Redação Final assinada pela Relatora, Dep. Soraya Santos (PL-RJ).";"2286958";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2286958";"";"509";"SSP";"1";"";"SSP 1 => PL 1208/2021"
"2276475-116";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2276475-116";"2022-02-02";"Aprovada a Redação Final assinada pela Relatora, Dep. Soraya Santos (PL-RJ).";"2286961";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2286961";"Parecer às Emendas de Plenário proferido pela Relatora, Dep. Soraya Santos (PL-RJ), pela Comissão de Seguridade Social e Família, que conclui pela rejeição de todas as Emendas de Plenário, com exceção da Emenda 12 e da Emenda 9, sendo esta última acatada parcialmente, na forma da Subemenda Substitutiva.";"442";"PEP";"1";"";"PEP 1 CSSF => PL 1208/2021"
"2276475-116";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2276475-116";"2022-02-02";"Aprovada a Redação Final assinada pela Relatora, Dep. Soraya Santos (PL-RJ).";"2286962";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2286962";"Parecer às Emendas de Plenário proferido pela Relatora, Dep. Soraya Santos (PL-RJ), pela Comissão de Finanças e Tributação, que conclui pela não implicação da matéria em aumento ou diminuição da receita ou da despesa públicas, não cabendo pronunciamento quanto à adequação financeira e orçamentária; e, no mérito, pela aprovação, na forma da Subemenda Substitutiva adotada pela Relatora da Comissão de Seguridade Social e Família.";"442";"PEP";"1";"";"PEP 1 CFT => PL 1208/2021"
"2276475-116";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2276475-116";"2022-02-02";"Aprovada a Redação Final assinada pela Relatora, Dep. Soraya Santos (PL-RJ).";"2286964";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2286964";"Parecer às Emendas de Plenário proferido pela Relatora, Dep. Soraya Santos (PL-RJ), pela Comissão de Constituição e Justiça e de Cidadania, que conclui pela constitucionalidade, juridicidade e boa técnica legislativa das Emendas nº 1, 4, 5, 6, 7, 8, 9, 10, 11, 12 e 13 e pela injuridicidade das Emendas nº 2 e 3.";"442";"PEP";"1";"";"PEP 1 CCJC => PL 1208/2021"
"2276475-116";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2276475-116";"2022-02-02";"Aprovada a Redação Final assinada pela Relatora, Dep. Soraya Santos (PL-RJ).";"2287593";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2287593";"Cria o Programa Prioritário PróPesquisa Covid-19 enquanto perdurar a emergência de saúde pública decorrente da pandemia da Covid-19.";"197";"RDF";"1";"";"RDF 1 => PL 1208/2021"
"2276475-116";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2276475-116";"2022-02-02";"Aprovada a Redação Final assinada pela Relatora, Dep. Soraya Santos (PL-RJ).";"2287926";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2287926";"DECLARAÇÃO DE VOTO - PL 1208.2021";"270";"DVT";"5";"";"DVT 5 => PL 1208/2021"
"2276475-116";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2276475-116";"2022-02-02";"Aprovada a Redação Final assinada pela Relatora, Dep. Soraya Santos (PL-RJ).";"2311862";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2311862";"Cria o Programa Prioritário Pró-Pesquisa Covid-19 enquanto perdurar a emergência de saúde pública decorrente da pandemia da Covid-19.";"891";"PRLP";"3";"";"PRLP 3 => PL 1208/2021"
"2276475-116";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2276475-116";"2022-02-02";"Aprovada a Redação Final assinada pela Relatora, Dep. Soraya Santos (PL-RJ).";"2313950";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2313950";"Parecer às Emendas do Senado, pela relatora, Dep. Soraya Santos (PL-RJ), pela Comissão de Seguridade Social e Família, que conclui pela aprovação das Emendas do Senado Federal nºs 1, 2, 4 e 5.";"443";"PSS";"1";"";"PSS 1 CSSF => PL 1208/2021"
"2236607-112";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2236607-112";"2022-02-02";"Rejeitadas as Emendas do Senado Federal ao Projeto de Lei nº 130, de 2020.";"2236737";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2236737";"Requer Urgência Urgentíssima para o Projeto de Lei nº 130, de 2020, que ""Altera a Lei n º 9.503, de 23 de setembro de 1997, para dispor sobre as sanções por divulgação, por parte do infrator, de condutas infracionais de risco praticadas por ele, nas redes sociais e outros meios de divulgação digitais, eletrônicos ou impressos.""";"392";"REQ";"104";"2020";"REQ 104/2020"
"2236607-112";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2236607-112";"2022-02-02";"Rejeitadas as Emendas do Senado Federal ao Projeto de Lei nº 130, de 2020.";"2257551";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2257551";"Requer a apensação do PL 808/2020 ao PL 130/2020 por tratarem de proposições regulando a mesma matéria";"304";"REQ";"1836";"2020";"REQ 1836/2020"
"2236607-112";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2236607-112";"2022-02-02";"Rejeitadas as Emendas do Senado Federal ao Projeto de Lei nº 130, de 2020.";"2257568";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2257568";"Altera o PL 130/2020.";"870";"EMP";"1";"";"EMP 1 => PL 130/2020"
"2236607-112";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2236607-112";"2022-02-02";"Rejeitadas as Emendas do Senado Federal ao Projeto de Lei nº 130, de 2020.";"2296188";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2296188";"Requer a redistribuição à Comissão de Ciência e Tecnologia, Comunicação e Informática – CCTCI do Projeto de Lei nº 130, de 2020.";"308";"REQ";"1721";"2021";"REQ 1721/2021"
"2236607-112";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2236607-112";"2022-02-02";"Rejeitadas as Emendas do Senado Federal ao Projeto de Lei nº 130, de 2020.";"2299948";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2299948";"Altera a Lei n º 9.503, de 23 de setembro de 1997, para dispor sobre as sanções por divulgação, por parte do infrator, de condutas infracionais de risco praticadas por ele, nas redes sociais e outros meios de divulgação digitais, eletrônicos ou impressos.";"870";"EMP";"2";"";"EMP 2 => PL 130/2020"
"2236607-112";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2236607-112";"2022-02-02";"Rejeitadas as Emendas do Senado Federal ao Projeto de Lei nº 130, de 2020.";"2299972";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2299972";"Altera a Lei n º 9.503, de 23 de setembro de 1997, para dispor sobre as sanções por divulgação, por parte do infrator, de condutas infracionais de risco praticadas por ele, nas redes sociais e outros meios de divulgação digitais, eletrônicos ou impressos.";"870";"EMP";"3";"";"EMP 3 => PL 130/2020"
"2236607-112";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2236607-112";"2022-02-02";"Rejeitadas as Emendas do Senado Federal ao Projeto de Lei nº 130, de 2020.";"2299974";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2299974";"Dispõe sobre a vedação da divulgação, em redes sociais ou quaisquer outros meios de divulgação digitais, eletrônicos ou impressos, do registro visual da prática de infração que coloque em risco a segurança no trânsito, e altera a Lei nº 9.503, de 23 de setembro de 1997.";"891";"PRLP";"1";"";"PRLP 1 => PL 130/2020"
"2236607-112";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2236607-112";"2022-02-02";"Rejeitadas as Emendas do Senado Federal ao Projeto de Lei nº 130, de 2020.";"2300253";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2300253";"Altera a Lei n º 9.503, de 23 de setembro de 1997, para dispor sobre as sanções por divulgação, por parte do infrator, de condutas infracionais de risco praticadas por ele, nas redes sociais e outros meios de divulgação digitais, eletrônicos ou impressos.";"870";"EMP";"4";"";"EMP 4 => PL 130/2020"
"2236607-112";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2236607-112";"2022-02-02";"Rejeitadas as Emendas do Senado Federal ao Projeto de Lei nº 130, de 2020.";"2300632";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2300632";"Dispõe sobre a vedação da divulgação, em redes sociais ou quaisquer outros meios de divulgação digitais, eletrônicos ou impressos, do registro visual da prática de infração que coloque em risco a segurança no trânsito, e altera a Lei nº 9.503, de 23 de setembro de 1997.";"1001";"PRLE";"1";"";"PRLE 1 => PL 130/2020"
"2236607-112";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2236607-112";"2022-02-02";"Rejeitadas as Emendas do Senado Federal ao Projeto de Lei nº 130, de 2020.";"2300637";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2300637";"Parecer proferido em Plenário pelo Relator, Dep. Hugo Leal (PSD-RJ), pela Comissão de Constituição e Justiça e de Cidadania, que conclui pela constitucionalidade, juridicidade e técnica legislativa deste e do apensado, na forma do Substitutivo da Comissão de Viação e Transporte.";"192";"PPP";"1";"";"PPP 1 CCJC => PL 130/2020"
"2236607-112";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2236607-112";"2022-02-02";"Rejeitadas as Emendas do Senado Federal ao Projeto de Lei nº 130, de 2020.";"2300657";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2300657";"Parecer às Emendas de Plenário proferido pelo Relator, Dep. Hugo Leal (PSD-RJ), pela Comissão de Viação e Transportes, que conclui pela aprovação das Emendas de Plenário nºs 1 e 2, na forma da Subemenda Substitutiva Global, e pela rejeição das Emendas de Plenário nºs 3 e 4.";"442";"PEP";"1";"";"PEP 1 CVT => PL 130/2020"
"2236607-112";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2236607-112";"2022-02-02";"Rejeitadas as Emendas do Senado Federal ao Projeto de Lei nº 130, de 2020.";"2300658";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2300658";"Parecer às Emendas de Plenário proferido pelo Relator, Dep. Hugo Leal (PSD-RJ), pela Comissão de Constituição e Justiça e de Cidadania, que conclui pela constitucionalidade, juridicidade e boa técnica legislativa das Emendas de Plenário e da Subemenda Substitutiva Global adotada pelo relator da Comissão de Viação e Transportes.";"442";"PEP";"1";"";"PEP 1 CCJC => PL 130/2020"
"2236607-112";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2236607-112";"2022-02-02";"Rejeitadas as Emendas do Senado Federal ao Projeto de Lei nº 130, de 2020.";"2300659";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2300659";"Subemenda Substitutiva Reformulada";"509";"SSP";"1";"";"SSP 1 => PL 130/2020"
"2236607-112";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2236607-112";"2022-02-02";"Rejeitadas as Emendas do Senado Federal ao Projeto de Lei nº 130, de 2020.";"2300674";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2300674";"Parecer Reformulado às Emendas de Plenário, proferido pelo Relator, Dep. Hugo Leal (PSD-RJ), pela Comissão de Viação e Transportes, que conclui pela aprovação das Emendas de Plenário nºs 1, 2 e 4, na forma da Subemenda Substitutiva Reformulada apresentada; e pela rejeição da Emenda de Plenário nº 3.";"1034";"PPR";"1";"";"PPR 1 CVT => PL 130/2020"
"2236607-112";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2236607-112";"2022-02-02";"Rejeitadas as Emendas do Senado Federal ao Projeto de Lei nº 130, de 2020.";"2300675";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2300675";"Dispõe sobre a vedação da divulgação, em redes sociais ou quaisquer outros meios de divulgação digitais, eletrônicos ou impressos, do registro visual da prática de infração que coloque em risco a segurança no trânsito, e altera a Lei nº 9.503, de 23 de setembro de 1997.";"1001";"PRLE";"2";"";"PRLE 2 => PL 130/2020"
"2236607-112";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2236607-112";"2022-02-02";"Rejeitadas as Emendas do Senado Federal ao Projeto de Lei nº 130, de 2020.";"2302360";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2302360";"Veda a divulgação, a publicação ou a disseminação, em redes sociais ou em quaisquer outros meios de divulgação digitais, eletrônicos ou impressos, do registro visual da prática de infração que coloque em risco a segurança no trânsito; e altera a Lei nº 9.503, de 23 de setembro de 1997 (Código de Trânsito Brasileiro).";"197";"RDF";"1";"";"RDF 1 => PL 130/2020"
"2236607-112";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2236607-112";"2022-02-02";"Rejeitadas as Emendas do Senado Federal ao Projeto de Lei nº 130, de 2020.";"2303968";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2303968";"Veda a divulgação, a publicação ou a disseminação, em redes sociais ou em quaisquer outros meios de divulgação digitais, eletrônicos ou impressos, do registro visual da prática de infração que coloque em risco a segurança no trânsito; e altera a Lei nº 9.503, de 23 de setembro de 1997 (Código de Trânsito Brasileiro).";"132";"EMS";"130";"2020";"EMS 130/2020"
"2236607-112";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2236607-112";"2022-02-02";"Rejeitadas as Emendas do Senado Federal ao Projeto de Lei nº 130, de 2020.";"2313912";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2313912";"Veda a divulgação, a publicação ou a disseminação, em redes sociais ou em quaisquer outros meios de divulgação digitais, eletrônicos ou impressos, do registro visual da prática de infração que coloque em risco a segurança no trânsito; e altera a Lei nº 9.503, de 23 de setembro de 1997 (Código de Trânsito Brasileiro).";"891";"PRLP";"2";"";"PRLP 2 => PL 130/2020"
"2236607-112";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2236607-112";"2022-02-02";"Rejeitadas as Emendas do Senado Federal ao Projeto de Lei nº 130, de 2020.";"2313947";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2313947";"Parecer às Emendas do Senado proferido pelo Relator, Dep. Hugo Leal (PSD-RJ), pela Comissão de Viação e Transportes, que conclui pela rejeição de todas as Emendas do Senado Federal ao Projeto de Lei nº 130, de 2020.";"443";"PSS";"1";"";"PSS 1 CVT => PL 130/2020"
"2276475-107";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2276475-107";"2022-02-02";"Aprovadas as Emendas do Senado Federal nºs 1, 2, 4 e 5 ao Projeto de Lei nº 1.208, de 2021, ressalvados os destaques.";"2278564";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2278564";"Requer a desapensação do Projeto de Lei nº 1.208, de 2021, do Projeto de Lei nº 1.733, de 2020, do Projeto de Lei nº 1.300, de 2020 e do Projeto de Lei nº 1.016, de 2020.";"305";"REQ";"791";"2021";"REQ 791/2021"
"2276475-107";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2276475-107";"2022-02-02";"Aprovadas as Emendas do Senado Federal nºs 1, 2, 4 e 5 ao Projeto de Lei nº 1.208, de 2021, ressalvados os destaques.";"2278599";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2278599";"Requer regime de urgência para apreciação do Projeto de Lei 1.208/2021, do Sr. Carlos Jordy, que “Cria o Programa Pró-Pesquisa-Covid-19 enquanto durar a emergência de saúde pública decorrente da pandemia de Covid-19.”";"392";"REQ";"795";"2021";"REQ 795/2021"
"2276475-107";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2276475-107";"2022-02-02";"Aprovadas as Emendas do Senado Federal nºs 1, 2, 4 e 5 ao Projeto de Lei nº 1.208, de 2021, ressalvados os destaques.";"2282349";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2282349";"Cria o Programa Pró-Pesquisa-Covid-19 enquanto durar a emergência de saúde pública decorrente da pandemia de Covid-19.";"870";"EMP";"1";"";"EMP 1 => PL 1208/2021"
"2276475-107";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2276475-107";"2022-02-02";"Aprovadas as Emendas do Senado Federal nºs 1, 2, 4 e 5 ao Projeto de Lei nº 1.208, de 2021, ressalvados os destaques.";"2282620";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2282620";"Cria o Programa Pró-Pesquisa-Covid-19 enquanto durar a emergência de saúde pública decorrente da pandemia de Covid-19.";"870";"EMP";"2";"";"EMP 2 => PL 1208/2021"
