"idVotacao";"uriVotacao";"dataHoraVoto";"voto";"deputado_id";"deputado_uri";"deputado_nome";"deputado_siglaPartido";"deputado_uriPartido";"deputado_siglaUf";"deputado_idLegislatura";"deputado_urlFoto"
"105464-319";"https://dadosabertos.camara.leg.br/api/v2/votacoes/105464-319";"2022-08-04T13:19:31";"Não";"204521";"https://dadosabertos.camara.leg.br/api/v2/deputados/204521";"Abou Anni";"UNIÃO";"https://dadosabertos.camara.leg.br/api/v2/partidos/38009";"SP";"56";"https://www.camara.leg.br/internet/deputado/bandep/204521.jpg"
"105464-319";"https://dadosabertos.camara.leg.br/api/v2/votacoes/105464-319";"2022-08-04T13:12:14";"Não";"204528";"https://dadosabertos.camara.leg.br/api/v2/deputados/204528";"Adriana Ventura";"NOVO";"https://dadosabertos.camara.leg.br/api/v2/partidos/37901";"SP";"56";"https://www.camara.leg.br/internet/deputado/bandep/204528.jpg"
"105464-319";"https://dadosabertos.camara.leg.br/api/v2/votacoes/105464-319";"2022-08-04T13:11:00";"Não";"121948";"https://dadosabertos.camara.leg.br/api/v2/deputados/121948";"Adriano do Baldy";"PP";"https://dadosabertos.camara.leg.br/api/v2/partidos/37903";"GO";"56";"https://www.camara.leg.br/internet/deputado/bandep/121948.jpg"
"105464-319";"https://dadosabertos.camara.leg.br/api/v2/votacoes/105464-319";"2022-08-04T13:11:49";"Sim";"74646";"https://dadosabertos.camara.leg.br/api/v2/deputados/74646";"Aécio Neves";"PSDB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36835";"MG";"56";"https://www.camara.leg.br/internet/deputado/bandep/74646.jpg"
"105464-319";"https://dadosabertos.camara.leg.br/api/v2/votacoes/105464-319";"2022-08-04T13:13:40";"Não";"141372";"https://dadosabertos.camara.leg.br/api/v2/deputados/141372";"Aelton Freitas";"PP";"https://dadosabertos.camara.leg.br/api/v2/partidos/37903";"MG";"56";"https://www.camara.leg.br/internet/deputado/bandep/141372.jpg"
"105464-319";"https://dadosabertos.camara.leg.br/api/v2/votacoes/105464-319";"2022-08-04T13:18:00";"Sim";"204495";"https://dadosabertos.camara.leg.br/api/v2/deputados/204495";"Airton Faleiro";"PT";"https://dadosabertos.camara.leg.br/api/v2/partidos/36844";"PA";"56";"https://www.camara.leg.br/internet/deputado/bandep/204495.jpg"
"105464-319";"https://dadosabertos.camara.leg.br/api/v2/votacoes/105464-319";"2022-08-04T13:18:12";"Não";"204549";"https://dadosabertos.camara.leg.br/api/v2/deputados/204549";"AJ Albuquerque";"PP";"https://dadosabertos.camara.leg.br/api/v2/partidos/37903";"CE";"56";"https://www.camara.leg.br/internet/deputado/bandep/204549.jpg"
"105464-319";"https://dadosabertos.camara.leg.br/api/v2/votacoes/105464-319";"2022-08-04T13:11:24";"Não";"204413";"https://dadosabertos.camara.leg.br/api/v2/deputados/204413";"Alcides Rodrigues";"PATRIOTA";"https://dadosabertos.camara.leg.br/api/v2/partidos/37907";"GO";"56";"https://www.camara.leg.br/internet/deputado/bandep/204413.jpg"
"105464-319";"https://dadosabertos.camara.leg.br/api/v2/votacoes/105464-319";"2022-08-04T13:11:28";"Não";"204545";"https://dadosabertos.camara.leg.br/api/v2/deputados/204545";"Alê Silva";"REPUBLICANOS";"https://dadosabertos.camara.leg.br/api/v2/partidos/37908";"MG";"56";"https://www.camara.leg.br/internet/deputado/bandep/204545.jpg"
"105464-319";"https://dadosabertos.camara.leg.br/api/v2/votacoes/105464-319";"2022-08-04T13:11:20";"Sim";"204501";"https://dadosabertos.camara.leg.br/api/v2/deputados/204501";"Alencar Santana";"PT";"https://dadosabertos.camara.leg.br/api/v2/partidos/36844";"SP";"56";"https://www.camara.leg.br/internet/deputado/bandep/204501.jpg"
"105464-319";"https://dadosabertos.camara.leg.br/api/v2/votacoes/105464-319";"2022-08-04T13:12:58";"Sim";"160511";"https://dadosabertos.camara.leg.br/api/v2/deputados/160511";"Alessandro Molon";"PSB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36832";"RJ";"56";"https://www.camara.leg.br/internet/deputado/bandep/160511.jpg"
"105464-319";"https://dadosabertos.camara.leg.br/api/v2/votacoes/105464-319";"2022-08-04T13:11:36";"Não";"204571";"https://dadosabertos.camara.leg.br/api/v2/deputados/204571";"Alex Santana";"REPUBLICANOS";"https://dadosabertos.camara.leg.br/api/v2/partidos/37908";"BA";"56";"https://www.camara.leg.br/internet/deputado/bandep/204571.jpg"
"105464-319";"https://dadosabertos.camara.leg.br/api/v2/votacoes/105464-319";"2022-08-04T13:12:46";"Não";"105534";"https://dadosabertos.camara.leg.br/api/v2/deputados/105534";"Alexandre Figueiredo";"PSD";"https://dadosabertos.camara.leg.br/api/v2/partidos/36834";"SE";"56";"https://www.camara.leg.br/internet/deputado/bandep/105534.jpg"
"105464-319";"https://dadosabertos.camara.leg.br/api/v2/votacoes/105464-319";"2022-08-04T13:11:54";"Sim";"204544";"https://dadosabertos.camara.leg.br/api/v2/deputados/204544";"Alexandre Frota";"PSDB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36835";"SP";"56";"https://www.camara.leg.br/internet/deputado/bandep/204544.jpg"
"105464-319";"https://dadosabertos.camara.leg.br/api/v2/votacoes/105464-319";"2022-08-04T13:11:19";"Não";"160545";"https://dadosabertos.camara.leg.br/api/v2/deputados/160545";"Alexandre Leite";"UNIÃO";"https://dadosabertos.camara.leg.br/api/v2/partidos/38009";"SP";"56";"https://www.camara.leg.br/internet/deputado/bandep/160545.jpg"
"105464-319";"https://dadosabertos.camara.leg.br/api/v2/votacoes/105464-319";"2022-08-04T13:11:52";"Sim";"204503";"https://dadosabertos.camara.leg.br/api/v2/deputados/204503";"Alexandre Padilha";"PT";"https://dadosabertos.camara.leg.br/api/v2/partidos/36844";"SP";"56";"https://www.camara.leg.br/internet/deputado/bandep/204503.jpg"
"105464-319";"https://dadosabertos.camara.leg.br/api/v2/votacoes/105464-319";"2022-08-04T13:13:46";"Não";"204516";"https://dadosabertos.camara.leg.br/api/v2/deputados/204516";"Alexis Fonteyne";"NOVO";"https://dadosabertos.camara.leg.br/api/v2/partidos/37901";"SP";"56";"https://www.camara.leg.br/internet/deputado/bandep/204516.jpg"
"105464-319";"https://dadosabertos.camara.leg.br/api/v2/votacoes/105464-319";"2022-08-04T13:16:41";"Sim";"74057";"https://dadosabertos.camara.leg.br/api/v2/deputados/74057";"Alice Portugal";"PCdoB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36779";"BA";"56";"https://www.camara.leg.br/internet/deputado/bandep/74057.jpg"
"105464-319";"https://dadosabertos.camara.leg.br/api/v2/votacoes/105464-319";"2022-08-04T13:13:43";"Sim";"178927";"https://dadosabertos.camara.leg.br/api/v2/deputados/178927";"Aliel Machado";"PV";"https://dadosabertos.camara.leg.br/api/v2/partidos/36851";"PR";"56";"https://www.camara.leg.br/internet/deputado/bandep/178927.jpg"
