"idVotacao";"uriVotacao";"siglaOrgao";"descricao";"siglaBancada";"uriBancada";"orientacao"
"2080470-86";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2080470-86";"PLEN";"Aprovada, em segundo turno, a Proposta de Emenda à Constituição n° 200, de 2016. Sim: 376; não: 30; abstenção: 5; total: 411.";"PSB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36832";"Sim"
"2080470-86";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2080470-86";"PLEN";"Aprovada, em segundo turno, a Proposta de Emenda à Constituição n° 200, de 2016. Sim: 376; não: 30; abstenção: 5; total: 411.";"Cidadania";"https://dadosabertos.camara.leg.br/api/v2/partidos/37905";"Não"
"2080470-86";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2080470-86";"PLEN";"Aprovada, em segundo turno, a Proposta de Emenda à Constituição n° 200, de 2016. Sim: 376; não: 30; abstenção: 5; total: 411.";"PSL";"https://dadosabertos.camara.leg.br/api/v2/partidos/36837";"Sim"
"2080470-86";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2080470-86";"PLEN";"Aprovada, em segundo turno, a Proposta de Emenda à Constituição n° 200, de 2016. Sim: 376; não: 30; abstenção: 5; total: 411.";"PROS";"https://dadosabertos.camara.leg.br/api/v2/partidos/36763";"Sim"
"2080470-86";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2080470-86";"PLEN";"Aprovada, em segundo turno, a Proposta de Emenda à Constituição n° 200, de 2016. Sim: 376; não: 30; abstenção: 5; total: 411.";"GOV.";"";"Sim"
"2080470-86";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2080470-86";"PLEN";"Aprovada, em segundo turno, a Proposta de Emenda à Constituição n° 200, de 2016. Sim: 376; não: 30; abstenção: 5; total: 411.";"PSC";"https://dadosabertos.camara.leg.br/api/v2/partidos/36833";"Sim"
"2080470-86";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2080470-86";"PLEN";"Aprovada, em segundo turno, a Proposta de Emenda à Constituição n° 200, de 2016. Sim: 376; não: 30; abstenção: 5; total: 411.";"PSD";"https://dadosabertos.camara.leg.br/api/v2/partidos/36834";"Sim"
"2080470-78";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2080470-78";"PLEN";"Aprovada, em primeiro turno, a Proposta de Emenda à Constituição nº 200, de 2016. Sim: 393; não: 37; abstenção: 4; total: 434.";"PSD";"https://dadosabertos.camara.leg.br/api/v2/partidos/36834";"Sim"
"2080470-78";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2080470-78";"PLEN";"Aprovada, em primeiro turno, a Proposta de Emenda à Constituição nº 200, de 2016. Sim: 393; não: 37; abstenção: 4; total: 434.";"DEM";"https://dadosabertos.camara.leg.br/api/v2/partidos/36769";"Sim"
"2080470-78";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2080470-78";"PLEN";"Aprovada, em primeiro turno, a Proposta de Emenda à Constituição nº 200, de 2016. Sim: 393; não: 37; abstenção: 4; total: 434.";"Republican";"";"Sim"
"2080470-78";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2080470-78";"PLEN";"Aprovada, em primeiro turno, a Proposta de Emenda à Constituição nº 200, de 2016. Sim: 393; não: 37; abstenção: 4; total: 434.";"PT";"https://dadosabertos.camara.leg.br/api/v2/partidos/36844";"Sim"
