"uriProposicao";"siglaTipo";"numero";"ano";"codTema";"tema";"relevancia"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268456";"RIC";"26";"2021";"57";"Defesa e Segurança";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268457";"RIC";"27";"2021";"56";"Saúde";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268458";"RIC";"28";"2021";"67";"Direito e Defesa do Consumidor";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268458";"RIC";"28";"2021";"56";"Saúde";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268459";"RIC";"29";"2021";"44";"Direitos Humanos e Minorias";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268459";"RIC";"29";"2021";"52";"Previdência e Assistência Social";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268460";"RIC";"30";"2021";"34";"Administração Pública";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268460";"RIC";"30";"2021";"40";"Economia";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268460";"RIC";"30";"2021";"58";"Trabalho e Emprego";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268461";"RIC";"31";"2021";"34";"Administração Pública";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268461";"RIC";"31";"2021";"40";"Economia";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268461";"RIC";"31";"2021";"58";"Trabalho e Emprego";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268468";"RIC";"32";"2021";"67";"Direito e Defesa do Consumidor";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268468";"RIC";"32";"2021";"56";"Saúde";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268469";"RIC";"33";"2021";"46";"Educação";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268470";"RIC";"34";"2021";"56";"Saúde";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268471";"RIC";"35";"2021";"56";"Saúde";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268474";"RIC";"36";"2021";"46";"Educação";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268475";"RIC";"37";"2021";"56";"Saúde";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268476";"RIC";"38";"2021";"56";"Saúde";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268477";"RIC";"39";"2021";"34";"Administração Pública";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268478";"RIC";"40";"2021";"56";"Saúde";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268481";"RIC";"41";"2021";"46";"Educação";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268482";"RIC";"42";"2021";"56";"Saúde";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268483";"RIC";"43";"2021";"56";"Saúde";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268484";"RIC";"44";"2021";"41";"Cidades e Desenvolvimento Urbano";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268484";"RIC";"44";"2021";"52";"Previdência e Assistência Social";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268485";"RIC";"45";"2021";"56";"Saúde";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268486";"RIC";"46";"2021";"41";"Cidades e Desenvolvimento Urbano";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268486";"RIC";"46";"2021";"56";"Saúde";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268487";"RIC";"47";"2021";"56";"Saúde";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268488";"RIC";"48";"2021";"56";"Saúde";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268489";"RIC";"49";"2021";"41";"Cidades e Desenvolvimento Urbano";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268489";"RIC";"49";"2021";"52";"Previdência e Assistência Social";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268490";"RIC";"50";"2021";"46";"Educação";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268493";"RIC";"51";"2021";"40";"Economia";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268494";"RIC";"52";"2021";"57";"Defesa e Segurança";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268495";"RIC";"53";"2021";"56";"Saúde";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268496";"RIC";"54";"2021";"55";"Relações Internacionais e Comércio Exterior";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268497";"RIC";"55";"2021";"56";"Saúde";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268498";"RIC";"56";"2021";"46";"Educação";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268499";"RIC";"57";"2021";"41";"Cidades e Desenvolvimento Urbano";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268500";"RIC";"58";"2021";"64";"Agricultura, Pecuária, Pesca e Extrativismo";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268500";"RIC";"58";"2021";"51";"Estrutura Fundiária";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268559";"RIC";"60";"2021";"46";"Educação";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268560";"RIC";"61";"2021";"56";"Saúde";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268501";"RIC";"59";"2021";"34";"Administração Pública";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268561";"RIC";"62";"2021";"44";"Direitos Humanos e Minorias";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268561";"RIC";"62";"2021";"46";"Educação";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268561";"RIC";"62";"2021";"56";"Saúde";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268562";"RIC";"63";"2021";"34";"Administração Pública";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268562";"RIC";"63";"2021";"40";"Economia";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268562";"RIC";"63";"2021";"70";"Finanças Públicas e Orçamento";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268564";"RIC";"64";"2021";"34";"Administração Pública";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268564";"RIC";"64";"2021";"37";"Comunicações";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268564";"RIC";"64";"2021";"52";"Previdência e Assistência Social";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268566";"RIC";"65";"2021";"37";"Comunicações";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268566";"RIC";"65";"2021";"52";"Previdência e Assistência Social";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268567";"RIC";"66";"2021";"40";"Economia";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268568";"RIC";"67";"2021";"52";"Previdência e Assistência Social";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268569";"RIC";"68";"2021";"54";"Energia, Recursos Hídricos e Minerais";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268570";"RIC";"69";"2021";"40";"Economia";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268570";"RIC";"69";"2021";"70";"Finanças Públicas e Orçamento";"0"
"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268571";"RIC";"70";"2021";"53";"Processo Legislativo e Atuação Parlamentar";"0"
