"id";"uri";"urlDocumentoPauta";"dataHoraInicio";"dataHoraFim";"situacao";"descricao";"descricaoTipo";"localExterno";"localCamara.nome";"localCamara.predio";"localCamara.sala";"localCamara.andar"
"64613";"https://dadosabertos.camara.leg.br/api/v2/eventos/64613";"";"2021-12-16T15:14:00";"2021-12-16T15:42:00";"Encerrada";"Destinada à promulgação da Emenda Constitucional n° 114 de 2021";"Sessão Não Deliberativa Solene";"";"Plenário do Senado Federal";"";"";""
"64528";"https://dadosabertos.camara.leg.br/api/v2/eventos/64528";"https://www.camara.leg.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=2122668";"2021-12-16T14:05:36";"2021-12-16T15:38:13";"Encerrada (Final)";"Audiência Pública com os seguintes convidados: 

Tema: Cobrança de Valores Diferenciados aos Idosos pelos Planos de Saúde

1) PAULO ROBERTO ROCHA (Confirmado) - Chefe de Gabinete da Secretaria Nacional e Defesa dos Direitos da Pessoa Idosa; 

2)  MARINA PAULLELI (Confirmada) - Advogada do Instituto de Defesa do Consumidor - IDEC;

3)  LIGIA BAHIA (Confirmada) - Professora da Universidade Federal do Rio de Janeiro. 


(REQ 83/2021 CIDOSO, do deputado Alexandre Padilha , subscrito pelo deputado Merlong Solano )";"Audiência Pública";"";"Anexo II, Plenário 13";"";"";""
"64320";"https://dadosabertos.camara.leg.br/api/v2/eventos/64320";"https://www.camara.leg.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=2112490";"2021-12-16T14:04:24";"2021-12-16T15:51:43";"Encerrada (Final)";"REQ nº 184/2021, de autoria da Deputada Professora Rosa Neide (PT-MT).


Convidados:

DANILO MELO DE SOUZA - presença confirmada
Subsecretário de Educação do Estado da Bahia, representando o Conselho Nacional de Secretários de Educação - Consed


ANDRESSA PELLANDA - presença confirmada
Coordenadora Geral da Campanha Nacional pelo Direito à Educação


GIVÂNIA SILVA - presença confirmada
Coordenadora do Coletivo Nacional de Educação da Coordenação Nacional de Articulação das Comunidades Negras Rurais Quilombolas - Conaq


WEIBE TAPEBA - presença confirmada
Assessor Especial de Políticas Educacionais da Articulação dos Povos Indígenas do Brasil - Apib


CLEO MANHAS - presença confirmada
Assessora política do Instituto de Estudos Socioeconômicos - Inesc


BRUNA SALOMÃO - presença confirmada
Monitora da Cipó Comunicação Interativa e do projeto Monitorando o Orçamento da Educação: Inesc e Fundo Malala";"Audiência Pública";"";"Anexo II, Plenário 12";"";"";""
"64612";"https://dadosabertos.camara.leg.br/api/v2/eventos/64612";"https://www.camara.leg.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=2126150";"2021-12-16T14:00:00";"";"Encerrada (Termo)";"A - Instalação da Comissão; e

B - Eleição do Presidente e dos Vice-Presidentes.";"Reunião de Instalação e Eleição";"";"Anexo II, Plenário 05";"";"";""
"64507";"https://dadosabertos.camara.leg.br/api/v2/eventos/64507";"https://www.camara.leg.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=2125203";"2021-12-16T12:34:07";"2021-12-16T12:59:58";"Encerrada (Final)";"Discussão e votação do Parecer do Relator, Deputado Silvio Costa Filho, à PEC 122/15 e apensada.";"Reunião Deliberativa";"";"Anexo II, Plenário 09";"";"";""
"64606";"https://dadosabertos.camara.leg.br/api/v2/eventos/64606";"https://www.camara.leg.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=2126083";"2021-12-16T11:30:00";"2021-12-16T12:11:00";"Encerrada (Final)";"Deliberação de requerimentos
Designação de Relatorias-Parciais
Definição do Plano de Trabalho

Coordenador, Deputado Subtenente Gonzaga (PDT/MG).";"Reunião Deliberativa";"";"Anexo II, Plenário 11";"";"";""
"63927";"https://dadosabertos.camara.leg.br/api/v2/eventos/63927";"https://www.camara.leg.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=2111629";"2021-12-16T11:15:07";"2021-12-16T12:39:13";"Encerrada (Final)";"Audiência Pública com os seguintes convidados: 

Tema: Fiscalização do Serviço de Acolhimento aos Idosos nas Entidades de Atendimento


1)  VERA CAMPELO DA SILVA (Confirmada) - Coordenadora Geral de Serviços de Acolhimento da Secretaria Nacional de Assistência Social do Ministério da Cidadania;

2) FERNANDA DUTRA PINCHIARO (Confirmada) -  Representante doConselho Nacional do Direito da Pessoa Idosa (CNDI);

3) EMANUELE GOMES ALVES DA COSTA (Confirmada) - , Coordenadora Geral de Promoção dos Direitos da Pessoa Idosa da Secretaria Nacional de Promoção e Defesa dos Direitos da Pessoa Idosa (SNDPI/MMDHF) e  Representante do Conselho Nacional do Direito da Pessoa Idosa (CNDI);

4)  GUILHERME BUSS (Confirmado) - Gerente Geral de Tecnologia em Serviços da Saúde (GGTES) da  Agência Nacional de Vigilância Sanitária -ANVISA;

5)  ALICE SOUZA (Confirmada) - Coordenadora de Serviços de Interesse para a Saúde (CSIPS) da  Agência Nacional de Vigilância Sanitária -ANVISA;; 

6) MONIZE MARQUES (Confirmada), juíza do TJDFT e coordenadora da Central Judicial do Idoso;

7) MAERCIA MELLO (Confirmada) - Promotora de justiça do MPDFT e Coordenadora da Central do Idoso;

8) BIANCA COBUCCI (Confirmada) - Defensora Pública do DF;

9)  VICENTE FALEIROS (Confirmado) - Representante da Sociedade Brasileira de Geriatria e Gerontologia; e

10) CRISTIANE BRANQUINHO (Confirmada) - Coordenadora-Diretora da Associação Nacional do Ministério Público de Defesa dos Direitos dos Idosos e Pessoas com Deficiência -  AMPID. 


(REQ 80/2021 CIDOSO, do deputado Ossesio Silva )";"Audiência Pública";"";"Anexo II, Plenário 12";"";"";""
"64434";"https://dadosabertos.camara.leg.br/api/v2/eventos/64434";"https://www.camara.leg.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=2117170";"2021-12-16T10:32:00";"2021-12-16T13:23:00";"Encerrada (Final)";"Audiência Pública em atenção aos Requerimentos nº 64 e 65/2021, de autoria do deputado Felício Laterça, para debater a comercialização vedada de voos em veículos aéreos desportivos feita pelos praticantes de voo livre e pelos aeroclubes e associações dedicados a essa atividade.

Convidados confirmados:
Sr.  Bruno Diniz Del Bel, Gerente de Operações da Aviação Geral da Superintendência de Padrões Operacionais, representante da Agência Nacional de Aviação Civil - ANAC (videoconferência);
Sr. Alberto Vinícius Petry, Presidente da Confederação Brasileira de Voo Livre - CBVL;
Sr. Vinicius Santos Matuk Ferreira, próximo Presidente eleito da Confederação Brasileira de Voo Livre -CBVL;
Sr.  Marcelo da Nova Moreira Jermann, Piloto Aerodesportista de Voo Livre (videoconferência);
Sr. Rômulo Sousa dos Santos, Presidente da Associação Brasileira de Paraquedistas - ABPQD;
Sr. Robson Barcelos, instrutor de Voo Livre (videoconferência). 


Convidados:
Sr. Marcos de Castro Simanovic, Presidente do ICMBIO.";"Audiência Pública";"";"Anexo II, Plenário 05";"";"";""
"64550";"https://dadosabertos.camara.leg.br/api/v2/eventos/64550";"https://www.camara.leg.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=2122468";"2021-12-16T10:30:40";"2021-12-16T11:30:25";"Encerrada (Final)";"Protocolo elaborado pelo Conselho Nacional de Justiça


Convidada:

IVANA FARINA NAVARRETE PENA
Procuradora de Justiça, ex-Conselheira do CNJ e Coordenadora do Grupo de Trabalho instituído pela Portaria CNJ nº 27, de 02 de fevereiro de 2021, para elaboração do ""Protocolo para julgamento com perspectiva de gênero"".




Requerimento: REQ 65/2021 de autoria da Deputada Carmen Zanotto (Cidadania-SC)";"Audiência Pública";"";"Anexo II, Plenário 14";"";"";""
"64262";"https://dadosabertos.camara.leg.br/api/v2/eventos/64262";"https://www.camara.leg.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=2110965";"2021-12-16T10:11:07";"2021-12-16T14:58:23";"Encerrada (Final)";"1) AKEMI SHIBA (Confirmada)
   Médica psiquiatra
2) EDIMILSON MIGOWSKI (Confirmado)
   Pesquisador e professor de Medicina, Doutor em Doenças Infecciosas e Mestre em Pediatria
   UFRJ

3) FRANCISCO EDUARDO CARDOSO ALVES 
   Diretor-Presidente
   Associação Nacional dos Médicos Peritos da Previdência Social - ANMP

4) GIOVANA LARA (Confirmada)
   Doutora em Ciência e Tecnologia de Materiais
   Centro de Desenvolvimento da Tecnologia Nuclear

5) HERMES RODRIGUES NERY (Confirmado)
   Coordenador Nacional
   Movimento Legislação e Vida

6) JOSÉ PAULO LEÃO VELOSO SILVA (Confirmado)
   Procurador
   Estado de Sergipe

7) MARIA EMÍLIA GADELHA SERRA (Confirmada)
   Médica

8) PAOLO ZANOTTO (Confirmado)
   Professor Doutor
   Universidade de São Paulo

9) VITOR HUGO NICASTRO HONESKO (Confirmado)
   Promotor de Justiça
   Ministério Público do Paraná



REQ 364/21 - Seminário com o tema ""Pandemia: um panorama de conjunturas"" - Dep. Chris Tonietto";"Seminário";"";"Anexo II, Plenário 07";"";"";""
